country_name,election_year,total_parties,total_parties_seats
Austria,1949,4,4
Austria,1950,4,4
Austria,1951,4,4
Austria,1952,4,4
Austria,1953,4,4
Austria,1954,4,4
Austria,1955,4,4
Austria,1956,4,4
Austria,1957,4,4
Austria,1958,4,4
Austria,1959,4,3
Austria,1960,4,3
Austria,1961,4,3
Austria,1962,4,3
Austria,1963,4,3
Austria,1964,4,3
Austria,1965,4,3
Austria,1966,4,3
Austria,1967,4,3
Austria,1968,4,3
Austria,1969,4,3
Austria,1970,4,3
Austria,1971,4,3
Austria,1972,4,3
Austria,1973,4,3
Austria,1974,4,3
Austria,1975,4,3
Austria,1976,4,3
Austria,1977,4,3
Austria,1978,4,3
Austria,1979,4,3
Austria,1980,4,3
Austria,1981,4,3
Austria,1982,4,3
Austria,1983,5,3
Austria,1984,5,3
Austria,1985,5,3
Austria,1986,5,4
Austria,1987,5,4
Austria,1988,5,4
Austria,1989,5,4
Austria,1990,5,4
Austria,1991,5,4
Austria,1992,5,4
Austria,1993,5,4
Austria,1994,6,5
Austria,1995,6,5
Austria,1996,6,5
Austria,1997,6,5
Austria,1998,6,5
Austria,1999,6,4
Austria,2000,6,4
Austria,2001,6,4
Austria,2002,5,4
Austria,2003,5,4
Austria,2004,5,4
Austria,2005,5,4
Austria,2006,7,5
Austria,2007,7,5
Austria,2008,7,5
Austria,2009,7,5
Austria,2010,7,5
Austria,2011,7,5
Austria,2012,7,5
Austria,2013,8,6
Austria,2014,8,6
Austria,2015,8,6
Austria,2016,8,6
Austria,2017,7,5
Austria,2018,7,5
Austria,2019,7,5
Belgium,1946,6,6
Belgium,1947,6,6
Belgium,1948,6,6
Belgium,1949,5,4
Belgium,1950,5,5
Belgium,1951,5,5
Belgium,1952,5,5
Belgium,1953,5,5
Belgium,1954,7,7
Belgium,1955,7,7
Belgium,1956,7,7
Belgium,1957,7,7
Belgium,1958,6,6
Belgium,1959,6,6
Belgium,1960,6,6
Belgium,1961,6,6
Belgium,1962,6,6
Belgium,1963,6,6
Belgium,1964,6,6
Belgium,1965,6,6
Belgium,1966,6,6
Belgium,1967,6,6
Belgium,1968,8,8
Belgium,1969,8,8
Belgium,1970,8,8
Belgium,1971,10,10
Belgium,1972,10,10
Belgium,1973,10,10
Belgium,1974,10,10
Belgium,1975,10,10
Belgium,1976,10,10
Belgium,1977,10,10
Belgium,1978,13,13
Belgium,1979,13,13
Belgium,1980,13,13
Belgium,1981,15,14
Belgium,1982,15,14
Belgium,1983,15,14
Belgium,1984,15,14
Belgium,1985,13,12
Belgium,1986,13,12
Belgium,1987,12,11
Belgium,1988,12,11
Belgium,1989,12,11
Belgium,1990,12,11
Belgium,1991,14,13
Belgium,1992,14,13
Belgium,1993,14,13
Belgium,1994,14,13
Belgium,1995,12,11
Belgium,1996,12,11
Belgium,1997,12,11
Belgium,1998,12,11
Belgium,1999,12,11
Belgium,2000,12,11
Belgium,2001,12,11
Belgium,2002,12,11
Belgium,2003,11,10
Belgium,2004,11,10
Belgium,2005,11,10
Belgium,2006,11,10
Belgium,2007,12,11
Belgium,2008,12,11
Belgium,2009,12,11
Belgium,2010,13,12
Belgium,2011,13,12
Belgium,2012,13,12
Belgium,2013,13,12
Belgium,2014,14,13
Belgium,2015,14,13
Belgium,2016,14,13
Belgium,2017,14,13
Belgium,2018,14,13
Belgium,2019,13,12
Bulgaria,1991,10,3
Bulgaria,1992,10,3
Bulgaria,1993,10,3
Bulgaria,1994,10,5
Bulgaria,1995,10,5
Bulgaria,1996,10,5
Bulgaria,1997,7,5
Bulgaria,1998,7,5
Bulgaria,1999,7,5
Bulgaria,2000,7,5
Bulgaria,2001,7,4
Bulgaria,2002,7,4
Bulgaria,2003,7,4
Bulgaria,2004,7,4
Bulgaria,2005,10,7
Bulgaria,2006,10,7
Bulgaria,2007,10,7
Bulgaria,2008,10,7
Bulgaria,2009,8,6
Bulgaria,2010,8,6
Bulgaria,2011,8,6
Bulgaria,2012,8,6
Bulgaria,2013,13,4
Bulgaria,2014,10,8
Bulgaria,2015,10,8
Bulgaria,2016,10,8
Bulgaria,2017,11,5
Bulgaria,2018,11,5
Bulgaria,2019,11,5
Croatia,2000,9,11
Croatia,2001,9,11
Croatia,2002,9,11
Croatia,2003,10,15
Croatia,2004,10,15
Croatia,2005,10,15
Croatia,2006,10,15
Croatia,2007,9,12
Croatia,2008,9,12
Croatia,2009,9,12
Croatia,2010,9,12
Croatia,2011,10,14
Croatia,2012,10,14
Croatia,2013,10,14
Croatia,2014,10,14
Croatia,2015,10,16
Croatia,2016,8,8
Croatia,2017,8,8
Croatia,2018,8,8
Croatia,2019,8,8
Cyprus,1976,3,4
Cyprus,1977,3,4
Cyprus,1978,3,4
Cyprus,1979,3,4
Cyprus,1980,3,4
Cyprus,1981,7,4
Cyprus,1982,7,4
Cyprus,1983,7,4
Cyprus,1984,7,4
Cyprus,1985,4,4
Cyprus,1986,4,4
Cyprus,1987,4,4
Cyprus,1988,4,4
Cyprus,1989,4,4
Cyprus,1990,4,4
Cyprus,1991,5,4
Cyprus,1992,5,4
Cyprus,1993,5,4
Cyprus,1994,5,4
Cyprus,1995,5,4
Cyprus,1996,8,5
Cyprus,1997,8,5
Cyprus,1998,8,5
Cyprus,1999,8,5
Cyprus,2000,8,5
Cyprus,2001,8,8
Cyprus,2002,8,8
Cyprus,2003,8,8
Cyprus,2004,8,8
Cyprus,2005,8,8
Cyprus,2006,8,6
Cyprus,2007,8,6
Cyprus,2008,8,6
Cyprus,2009,8,6
Cyprus,2010,8,6
Cyprus,2011,7,6
Cyprus,2012,7,6
Cyprus,2013,7,6
Cyprus,2014,7,6
Cyprus,2015,7,6
Cyprus,2016,9,8
Cyprus,2017,9,8
Cyprus,2018,9,8
Cyprus,2019,9,8
Czech Republic,1990,10,5
Czech Republic,1991,10,5
Czech Republic,1992,15,9
Czech Republic,1993,15,9
Czech Republic,1994,15,9
Czech Republic,1995,15,9
Czech Republic,1996,10,6
Czech Republic,1997,10,6
Czech Republic,1998,9,5
Czech Republic,1999,9,5
Czech Republic,2000,9,5
Czech Republic,2001,9,5
Czech Republic,2002,6,5
Czech Republic,2003,6,5
Czech Republic,2004,6,5
Czech Republic,2005,6,5
Czech Republic,2006,6,5
Czech Republic,2007,6,5
Czech Republic,2008,6,5
Czech Republic,2009,6,5
Czech Republic,2010,10,6
Czech Republic,2011,10,6
Czech Republic,2012,10,6
Czech Republic,2013,11,8
Czech Republic,2014,11,8
Czech Republic,2015,11,8
Czech Republic,2016,11,8
Czech Republic,2017,11,9
Czech Republic,2018,11,9
Czech Republic,2019,11,9
Denmark,1947,7,7
Denmark,1948,7,7
Denmark,1949,7,7
Denmark,1950,7,7
Denmark,1951,7,7
Denmark,1952,7,7
Denmark,1953,15,15
Denmark,1954,15,15
Denmark,1955,15,15
Denmark,1956,15,15
Denmark,1957,8,8
Denmark,1958,8,8
Denmark,1959,8,8
Denmark,1960,9,8
Denmark,1961,9,8
Denmark,1962,9,8
Denmark,1963,9,8
Denmark,1964,8,7
Denmark,1965,8,7
Denmark,1966,7,7
Denmark,1967,7,7
Denmark,1968,8,7
Denmark,1969,8,7
Denmark,1970,8,7
Denmark,1971,9,6
Denmark,1972,9,6
Denmark,1973,11,13
Denmark,1974,11,13
Denmark,1975,11,12
Denmark,1976,11,12
Denmark,1977,11,13
Denmark,1978,11,13
Denmark,1979,11,11
Denmark,1980,11,11
Denmark,1981,11,10
Denmark,1982,11,10
Denmark,1983,11,10
Denmark,1984,10,13
Denmark,1985,10,13
Denmark,1986,10,13
Denmark,1987,11,13
Denmark,1988,10,12
Denmark,1989,10,12
Denmark,1990,10,12
Denmark,1991,10,12
Denmark,1992,10,12
Denmark,1993,10,12
Denmark,1994,10,13
Denmark,1995,10,13
Denmark,1996,10,13
Denmark,1997,10,13
Denmark,1998,10,14
Denmark,1999,10,14
Denmark,2000,10,14
Denmark,2001,10,12
Denmark,2002,10,12
Denmark,2003,10,12
Denmark,2004,10,12
Denmark,2005,9,11
Denmark,2006,9,11
Denmark,2007,9,12
Denmark,2008,9,12
Denmark,2009,9,12
Denmark,2010,9,12
Denmark,2011,9,12
Denmark,2012,9,12
Denmark,2013,9,12
Denmark,2014,9,12
Denmark,2015,10,13
Denmark,2016,10,13
Denmark,2017,10,13
Denmark,2018,10,13
Denmark,2019,12,14
Estonia,1992,12,9
Estonia,1993,12,9
Estonia,1994,12,9
Estonia,1995,11,7
Estonia,1996,11,7
Estonia,1997,11,7
Estonia,1998,11,7
Estonia,1999,10,7
Estonia,2000,10,7
Estonia,2001,10,7
Estonia,2002,10,7
Estonia,2003,8,6
Estonia,2004,8,6
Estonia,2005,8,6
Estonia,2006,8,6
Estonia,2007,8,6
Estonia,2008,8,6
Estonia,2009,8,6
Estonia,2010,8,6
Estonia,2011,6,4
Estonia,2012,6,4
Estonia,2013,6,4
Estonia,2014,6,4
Estonia,2015,7,6
Estonia,2016,7,6
Estonia,2017,7,6
Estonia,2018,7,6
Estonia,2019,9,5
Finland,1948,8,7
Finland,1949,8,7
Finland,1950,8,7
Finland,1951,8,7
Finland,1952,8,7
Finland,1953,8,7
Finland,1954,8,7
Finland,1955,8,7
Finland,1956,8,7
Finland,1957,8,7
Finland,1958,9,8
Finland,1959,9,8
Finland,1960,9,8
Finland,1961,9,8
Finland,1962,10,9
Finland,1963,10,9
Finland,1964,10,9
Finland,1965,10,9
Finland,1966,10,9
Finland,1967,10,9
Finland,1968,10,9
Finland,1969,10,9
Finland,1970,10,9
Finland,1971,10,9
Finland,1972,10,9
Finland,1973,10,9
Finland,1974,10,9
Finland,1975,11,11
Finland,1976,11,11
Finland,1977,11,11
Finland,1978,11,11
Finland,1979,10,9
Finland,1980,10,9
Finland,1981,10,9
Finland,1982,10,9
Finland,1983,12,11
Finland,1984,12,11
Finland,1985,12,11
Finland,1986,12,11
Finland,1987,12,10
Finland,1988,12,10
Finland,1989,12,10
Finland,1990,12,10
Finland,1991,10,10
Finland,1992,10,10
Finland,1993,10,10
Finland,1994,10,10
Finland,1995,12,11
Finland,1996,12,11
Finland,1997,12,11
Finland,1998,12,11
Finland,1999,11,10
Finland,2000,11,10
Finland,2001,11,10
Finland,2002,11,10
Finland,2003,10,9
Finland,2004,10,9
Finland,2005,10,9
Finland,2006,10,9
Finland,2007,10,9
Finland,2008,10,9
Finland,2009,10,9
Finland,2010,10,9
Finland,2011,10,9
Finland,2012,10,9
Finland,2013,10,9
Finland,2014,10,9
Finland,2015,9,8
Finland,2016,9,8
Finland,2017,9,8
Finland,2018,9,8
Finland,2019,8,8
France,1946,11,11
France,1947,11,11
France,1948,11,11
France,1949,11,11
France,1950,11,11
France,1951,6,6
France,1952,6,6
France,1953,6,6
France,1954,6,6
France,1955,6,6
France,1956,9,8
France,1957,9,8
France,1958,9,6
France,1959,9,6
France,1960,9,6
France,1961,9,6
France,1962,9,8
France,1963,9,8
France,1964,9,8
France,1965,9,8
France,1966,9,8
France,1967,8,7
France,1968,7,6
France,1969,7,6
France,1970,7,6
France,1971,7,6
France,1972,7,6
France,1973,10,9
France,1974,10,9
France,1975,10,9
France,1976,10,9
France,1977,10,9
France,1978,13,6
France,1979,13,6
France,1980,13,6
France,1981,9,6
France,1982,9,6
France,1983,9,6
France,1984,9,6
France,1985,9,6
France,1986,9,7
France,1987,9,7
France,1988,8,7
France,1989,8,7
France,1990,8,7
France,1991,8,7
France,1992,8,7
France,1993,11,8
France,1994,11,8
France,1995,11,8
France,1996,11,8
France,1997,11,10
France,1998,11,10
France,1999,11,10
France,2000,11,10
France,2001,11,10
France,2002,18,11
France,2003,18,11
France,2004,18,11
France,2005,18,11
France,2006,18,11
France,2007,13,12
France,2008,13,12
France,2009,13,12
France,2010,13,12
France,2011,13,12
France,2012,14,14
France,2013,14,14
France,2014,14,14
France,2015,14,14
France,2016,14,14
France,2017,15,16
France,2018,15,16
France,2019,15,16
Germany,1949,11,11
Germany,1950,11,11
Germany,1951,11,11
Germany,1952,11,11
Germany,1953,11,7
Germany,1954,11,7
Germany,1955,11,7
Germany,1956,11,7
Germany,1957,7,5
Germany,1958,7,5
Germany,1959,7,5
Germany,1960,7,5
Germany,1961,6,4
Germany,1962,6,4
Germany,1963,6,4
Germany,1964,6,4
Germany,1965,6,4
Germany,1966,6,4
Germany,1967,6,4
Germany,1968,6,4
Germany,1969,5,4
Germany,1970,5,4
Germany,1971,5,4
Germany,1972,5,4
Germany,1973,5,4
Germany,1974,5,4
Germany,1975,5,4
Germany,1976,5,4
Germany,1977,5,4
Germany,1978,5,4
Germany,1979,5,4
Germany,1980,5,4
Germany,1981,5,4
Germany,1982,5,4
Germany,1983,6,5
Germany,1984,6,5
Germany,1985,6,5
Germany,1986,6,5
Germany,1987,6,5
Germany,1988,6,5
Germany,1989,6,5
Germany,1990,8,6
Germany,1991,8,6
Germany,1992,8,6
Germany,1993,8,6
Germany,1994,7,6
Germany,1995,7,6
Germany,1996,7,6
Germany,1997,7,6
Germany,1998,8,6
Germany,1999,8,6
Germany,2000,8,6
Germany,2001,8,6
Germany,2002,7,6
Germany,2003,7,6
Germany,2004,7,6
Germany,2005,7,6
Germany,2006,7,6
Germany,2007,7,6
Germany,2008,7,6
Germany,2009,8,6
Germany,2010,8,6
Germany,2011,8,6
Germany,2012,8,6
Germany,2013,9,5
Germany,2014,9,5
Germany,2015,9,5
Germany,2016,9,5
Germany,2017,9,7
Germany,2018,9,7
Germany,2019,9,7
Greece,1974,5,4
Greece,1975,5,4
Greece,1976,5,4
Greece,1977,7,8
Greece,1978,7,8
Greece,1979,7,8
Greece,1980,7,8
Greece,1981,5,3
Greece,1982,5,3
Greece,1983,5,3
Greece,1984,5,3
Greece,1985,4,4
Greece,1986,4,4
Greece,1987,4,4
Greece,1988,4,4
Greece,1989,10,10
Greece,1990,6,7
Greece,1991,6,7
Greece,1992,6,7
Greece,1993,5,4
Greece,1994,5,4
Greece,1995,5,4
Greece,1996,6,5
Greece,1997,6,5
Greece,1998,6,5
Greece,1999,6,5
Greece,2000,5,4
Greece,2001,5,4
Greece,2002,5,4
Greece,2003,5,4
Greece,2004,6,4
Greece,2005,6,4
Greece,2006,6,4
Greece,2007,6,5
Greece,2008,6,5
Greece,2009,6,5
Greece,2010,6,5
Greece,2011,6,5
Greece,2012,22,14
Greece,2013,22,14
Greece,2014,22,14
Greece,2015,20,15
Greece,2016,20,15
Greece,2017,20,15
Greece,2018,20,15
Greece,2019,9,6
Hungary,1990,12,8
Hungary,1991,12,8
Hungary,1992,12,8
Hungary,1993,12,8
Hungary,1994,11,8
Hungary,1995,11,8
Hungary,1996,11,8
Hungary,1997,11,8
Hungary,1998,9,7
Hungary,1999,9,7
Hungary,2000,9,7
Hungary,2001,9,7
Hungary,2002,6,4
Hungary,2003,6,4
Hungary,2004,6,4
Hungary,2005,6,4
Hungary,2006,5,5
Hungary,2007,5,5
Hungary,2008,5,5
Hungary,2009,5,5
Hungary,2010,5,6
Hungary,2011,5,6
Hungary,2012,5,6
Hungary,2013,5,6
Hungary,2014,5,8
Hungary,2015,5,8
Hungary,2016,5,8
Hungary,2017,5,8
Hungary,2018,8,8
Hungary,2019,8,8
Ireland,1948,6,7
Ireland,1949,6,7
Ireland,1950,6,7
Ireland,1951,5,6
Ireland,1952,5,6
Ireland,1953,5,6
Ireland,1954,6,6
Ireland,1955,6,6
Ireland,1956,6,6
Ireland,1957,6,7
Ireland,1958,6,7
Ireland,1959,6,7
Ireland,1960,6,7
Ireland,1961,6,7
Ireland,1962,6,7
Ireland,1963,6,7
Ireland,1964,6,7
Ireland,1965,4,5
Ireland,1966,4,5
Ireland,1967,4,5
Ireland,1968,4,5
Ireland,1969,3,4
Ireland,1970,3,4
Ireland,1971,3,4
Ireland,1972,3,4
Ireland,1973,4,4
Ireland,1974,4,4
Ireland,1975,4,4
Ireland,1976,4,4
Ireland,1977,4,4
Ireland,1978,4,4
Ireland,1979,4,4
Ireland,1980,4,4
Ireland,1981,5,6
Ireland,1982,9,10
Ireland,1983,9,10
Ireland,1984,9,10
Ireland,1985,9,10
Ireland,1986,9,10
Ireland,1987,7,7
Ireland,1988,7,7
Ireland,1989,8,8
Ireland,1990,8,8
Ireland,1991,8,8
Ireland,1992,7,7
Ireland,1993,7,7
Ireland,1994,7,7
Ireland,1995,7,7
Ireland,1996,7,7
Ireland,1997,9,9
Ireland,1998,9,9
Ireland,1999,9,9
Ireland,2000,9,9
Ireland,2001,9,9
Ireland,2002,8,9
Ireland,2003,8,9
Ireland,2004,8,9
Ireland,2005,8,9
Ireland,2006,8,9
Ireland,2007,7,7
Ireland,2008,7,7
Ireland,2009,7,7
Ireland,2010,7,7
Ireland,2011,8,7
Ireland,2012,8,7
Ireland,2013,8,7
Ireland,2014,8,7
Ireland,2015,8,7
Ireland,2016,11,10
Ireland,2017,11,10
Ireland,2018,11,10
Ireland,2019,11,10
Italy,1946,12,12
Italy,1947,12,12
